X;Y;ADRESSE_HA;ADRESSE_PL;ADRESSE_ST;OEFFNUNG;BEZEICHN_3;CATEGORY;LINKS_URL;;;
7.83231;48.00084;12;79106;Fehrenbachallee;Mo, Di, Do, Fr 10-12 Uhr oder nach Vereinbarung;Seniorenbüro;Senioren und Seniorinnen;http://www.freiburg.de/senioren;;;
7.8225312;48.0062152;2;79114;Flurstraße;;Deutsches Rotes Kreuz Kreisverband Freiburg e. V.: Gesundheitszentrum Migration;Gesundheit;;;;
7.8405566;47.9929613;12;79098;Adlerstraße;Di 16.30-18 Uhr;Medinetz;Flüchtlinge;http://medinetz.rasthaus-freiburg.org;;;
7.8405566;47.9929613;12;79098;Adlerstraße;Mi 15-18 Uhr, Fr 17-20 Uhr;Südbadisches Aktionsbündnis gegen Abschiebungen (SAGA);Flüchtlinge;http://www.saga.rasthaus-freiburg.org/?Kontakt;;;
7.8532714;47.9960214;17;79098;Münsterplatz;Di-Fr 10-19 Uhr; Sa 10-14 Uhr;Stadtbibliothek;;;;http://www.freiburg.de/stadtbibliothek
7.7921588;47.9994151;2;79111;Maria-von-Rudloff-Platz;Di, Do, Fr 13-18 Uhr; Mi 10-18 Uhr;Kinder- und Jugendmediothek Rieselfeld;;;;http://www.freiburg.de/stadtbibliothek
7.8484831;47.9920814;268;79098;Kaiser-Joseph-Straße;;Friedrichsbau-Lichtspiele;Kultur und Medien;http://www.friedrichsbau-kino.de;;;
7.850117;47.9940443;14-16;79098;Grünwälderstraße;;Harmonie Kino Freiburg;Kultur und Medien;http://www.friedrichsbau-kino.de;;;
7.8405566;47.9929613;12;79098;Adlerstraße;;Radio Dreyeckland;;http://www.rdl.de;;;
7.8405566;47.9929613;;;;;Erstanlaufstelle und Kompetenzzentrum Anerkennungsberatung für den Regierungsbezirk Freiburg;Arbeit, Beruf, Ausbildung;;;;
7.82389;48.01383;21;79110;Falkenbergerstraße;Di, Fr 9-13; Mi 14-18; Do 9-18 Uhr;;;;Kultur und Medien
7.8541669;47.9848895;40;79102;Urachstraße;;Kommunales Kino im alten Wiehrebahnhof;Kultur und Medien;http://www.koki-freiburg.de;;;
7.8439496;47.9956445;50;79098;Bertoldstraße;;CinemaxX;Kultur und Medien;http://www.cinemaxx.de/freiburg;;;
9.2043445;48.7929247;230;70190;Neckarstraße;;SWR International;;http://www.swr.de/international/de;;;
7.8539888;47.9963186;6;79098;Herrenstraße;;Caritasverband Freiburg-Stadt e. V.;Senioren und Seniorinnen;;;;
7.82385;47.99089;10;79115;Staudingerstraße;Di-Fr 13-18 Uhr;Stadtteilbibliothek Haslach;Kultur und Medien;http://www.freiburg.de/stadtbibliothek;;;
7.8455562;47.9879421;20;79100;Basler Straße;dienstags, 16-18 Uhr;Amnesty International Freiburg;Flüchtlinge;http://www.amnesty-suedbaden.de;;;
7.8437984;47.9947469;6;79098;Sedanstraße;Mo bis Do: 9 bis 12 Uhr, Do: 14 bis 16 Uhr;Service Center Studium - Abteilung International Admissions and Services;Studium;http://www.ias.uni-freiburg.de;;;
7.8675329;47.9883427;58 A;79117;Schwarzwaldstr.;Mo-Fr 10-16 Uhr; Einlass bis 15 Minuten vor Ende der Öffnungszeit;Freiburger Tafel e.V.;;;;http://www.freiburger-tafel.de
7.85724;47.9888244;;79102;Dreikönigstraße 9 / Ecke Talstraße;Mo 15-17 Uhr; Di 9-12 Uhr; Mi 15-17 Uhr;;;;Kleiderladen, Vereinigung Freiburger Sozialarbeit
